Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 22,2022-10-14 09:52:13,2022-10-14 16:54:46,0 days 07:02:33,2022-10-14,morning,422.55
Staff 22,2022-10-17 10:01:21,2022-10-17 17:13:05,0 days 07:11:44,2022-10-17,morning,431.73333333333335
Staff 22,2022-10-18 09:56:27,2022-10-18 17:55:36,0 days 07:59:09,2022-10-18,morning,479.15
Staff 22,2022-10-19 09:01:15,2022-10-19 17:42:18,0 days 08:41:03,2022-10-19,morning,521.05
Staff 22,2022-10-20 09:37:32,2022-10-20 17:21:03,0 days 07:43:31,2022-10-20,morning,463.51666666666665
Staff 22,2022-10-21 09:02:40,2022-10-21 17:09:58,0 days 08:07:18,2022-10-21,morning,487.3
Staff 22,2022-10-24 09:46:23,2022-10-24 17:35:36,0 days 07:49:13,2022-10-24,morning,469.21666666666664
Staff 22,2022-10-25 10:05:04,2022-10-25 17:07:08,0 days 07:02:04,2022-10-25,morning,422.06666666666666
Staff 22,2022-10-26 10:11:41,2022-10-26 10:11:45,0 days 00:00:04,2022-10-26,morning,0.06666666666666667
Staff 26,2022-10-03 10:05:40,2022-10-03 17:26:09,0 days 07:20:29,2022-10-03,morning,440.48333333333335
Staff 26,2022-10-04 10:01:16,2022-10-04 17:39:30,0 days 07:38:14,2022-10-04,morning,458.23333333333335
Staff 26,2022-10-05 09:58:23,2022-10-05 17:36:11,0 days 07:37:48,2022-10-05,morning,457.8
Staff 26,2022-10-06 10:06:02,2022-10-06 17:33:39,0 days 07:27:37,2022-10-06,morning,447.6166666666667
Staff 26,2022-10-07 09:45:30,2022-10-07 17:53:50,0 days 08:08:20,2022-10-07,morning,488.3333333333333
Staff 26,2022-10-10 10:03:04,2022-10-10 17:25:13,0 days 07:22:09,2022-10-10,morning,442.15
Staff 26,2022-10-11 09:31:05,2022-10-11 17:31:30,0 days 08:00:25,2022-10-11,morning,480.4166666666667
Staff 26,2022-10-12 09:17:03,2022-10-12 17:36:38,0 days 08:19:35,2022-10-12,morning,499.5833333333333
Staff 26,2022-10-13 09:28:14,2022-10-13 17:10:20,0 days 07:42:06,2022-10-13,morning,462.1
Staff 26,2022-10-14 09:56:08,2022-10-14 17:22:30,0 days 07:26:22,2022-10-14,morning,446.3666666666667
Staff 26,2022-10-15 11:22:51,2022-10-15 17:27:10,0 days 06:04:19,2022-10-15,morning,364.31666666666666
Staff 26,2022-10-16 10:01:34,2022-10-16 13:31:14,0 days 03:29:40,2022-10-16,morning,209.66666666666666
Staff 26,2022-10-17 09:45:13,2022-10-17 17:21:16,0 days 07:36:03,2022-10-17,morning,456.05
Staff 26,2022-10-18 09:56:44,2022-10-18 17:44:22,0 days 07:47:38,2022-10-18,morning,467.6333333333333
Staff 26,2022-10-19 09:04:50,2022-10-19 17:25:55,0 days 08:21:05,2022-10-19,morning,501.0833333333333
Staff 26,2022-10-20 09:56:58,2022-10-20 17:08:38,0 days 07:11:40,2022-10-20,morning,431.6666666666667
