Technician,Location,from,to
Staff 10,"18.832,14.852","9/27/2022, 5:06:17 PM","9/27/2022, 5:06:19 PM"
Staff 10,"19.644,14.215","9/27/2022, 5:06:19 PM","9/27/2022, 5:06:32 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:06:32 PM","9/27/2022, 5:06:34 PM"
Staff 10,"19.582,14.07","9/27/2022, 5:06:34 PM","9/27/2022, 5:06:54 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:06:54 PM","9/27/2022, 5:06:59 PM"
Staff 10,"19.554,14.101","9/27/2022, 5:06:59 PM","9/27/2022, 5:07:00 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:07:00 PM","9/27/2022, 5:07:01 PM"
Staff 10,"19.605,14.089","9/27/2022, 5:07:01 PM","9/27/2022, 5:07:15 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:07:15 PM","9/27/2022, 5:07:16 PM"
Staff 10,"19.546,14.019","9/27/2022, 5:07:16 PM","9/27/2022, 5:07:17 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:07:17 PM","9/27/2022, 5:07:18 PM"
Staff 10,"19.559,13.943","9/27/2022, 5:07:18 PM","9/27/2022, 5:07:50 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:07:50 PM","9/27/2022, 5:07:52 PM"
Staff 10,"19.646,13.977","9/27/2022, 5:07:52 PM","9/27/2022, 5:08:04 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:08:04 PM","9/27/2022, 5:08:06 PM"
Staff 10,"19.434,14.047","9/27/2022, 5:08:06 PM","9/27/2022, 5:08:28 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:08:28 PM","9/27/2022, 5:08:30 PM"
Staff 10,"19.533,14.08","9/27/2022, 5:08:30 PM","9/27/2022, 5:08:33 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:08:33 PM","9/27/2022, 5:08:34 PM"
Staff 10,"19.539,13.921","9/27/2022, 5:08:34 PM","9/27/2022, 5:08:38 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:08:38 PM","9/27/2022, 5:08:40 PM"
Staff 10,"19.573,14.154","9/27/2022, 5:08:40 PM","9/27/2022, 5:09:08 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:09:08 PM","9/27/2022, 5:09:10 PM"
Staff 10,"19.45,14.078","9/27/2022, 5:09:10 PM","9/27/2022, 5:09:11 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:09:11 PM","9/27/2022, 5:09:12 PM"
Staff 10,"19.594,14.129","9/27/2022, 5:09:12 PM","9/27/2022, 5:09:32 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:09:32 PM","9/27/2022, 5:09:33 PM"
Staff 10,"19.616,14.035","9/27/2022, 5:09:33 PM","9/27/2022, 5:09:38 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:09:38 PM","9/27/2022, 5:09:39 PM"
Staff 10,"19.546,14.046","9/27/2022, 5:09:39 PM","9/27/2022, 5:09:40 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:09:40 PM","9/27/2022, 5:09:42 PM"
Staff 10,"19.598,14.063","9/27/2022, 5:09:42 PM","9/27/2022, 5:09:46 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:09:46 PM","9/27/2022, 5:09:48 PM"
Staff 10,"19.585,14.175","9/27/2022, 5:09:48 PM","9/27/2022, 5:10:24 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:10:24 PM","9/27/2022, 5:10:25 PM"
Staff 10,"19.726,14.121","9/27/2022, 5:10:25 PM","9/27/2022, 5:10:38 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:10:38 PM","9/27/2022, 5:10:40 PM"
Staff 10,"19.541,14.004","9/27/2022, 5:10:40 PM","9/27/2022, 5:10:42 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:10:42 PM","9/27/2022, 5:10:44 PM"
Staff 10,"19.563,14.025","9/27/2022, 5:10:44 PM","9/27/2022, 5:10:59 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:10:59 PM","9/27/2022, 5:11:01 PM"
Staff 10,"19.587,14.15","9/27/2022, 5:11:01 PM","9/27/2022, 5:11:11 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:11:11 PM","9/27/2022, 5:11:13 PM"
